"Johnson, Lyndon B. and Lady Bird"
"Johnston, Olin B."
"Jolson, Al"
"Jones, Jesse H."
"Jones, Raymond"
"Josephs, Devereux C."
"Kallen, Horace M."
"Kampelman, Max M."
"Katzin, Alfred G."
"Kearney, James E."
"Keating, Kenneth B."
"Keegan, Robert F."
"Kefauver, Estes and Mrs. Nancy"
"Keller, Helen"
"Kellogg, Paul U."
"Kelly, Edna F."
"Kelly, Frank V."
"Kem, James P."
"Kennan, George F."
"Kennedy, Edward"
"Kennedy, John Fitzgerald"
"Kennedy, Joseph P."
"Kennedy, Michael J."
"Kennedy, Robert F."
"Kennedy, W. P."
"Kent, Rockwell"
"Kenyon, Dorothy"
"Keogh, Eugene J."
"Kerr, Robert S."
"Keynes, John Maynard"
"Kilgore, Harley M."
"King, Dr. Martin Luther King, Jr."
"King, William Lyon MacKenzie"
"Kingdon, Frank"
"Kirby, Rollin"
"Kirchwey, Freda"
"Kirk, Grayson"
"Klutznick, Philip M."
"Knopf, Alfred A."
"Knowland, William F."
"Knox, Frank"
"Knox, John C."
"Knudsen, William S."
"Koehler, Jerome H."
"Kollek, Theodore"
"Koo, V. K. Wellington"
"Korn, Richard"
"Kosanovic, Sava N."
"Koussevitzky, Serge"
"Kreisler, Fritz"
"Krock, Arthur"
"Kross, Anna Moscowitz"
"Kuchel, Thomas H."
"Kung, H. H."
"Kuo, P.W."
"La Farge, John"
"La Farge, Oliver"
"La Follette, Charles M."
"La Follette, Phillip F."
"La Guardia, Fiorello H."
"Lamont, Corliss"
"Lamont, Robert P."
"Lamont, Thomas W."
"Lane, Mark"
"Langer, William"
"Lanigan, James S."
"Lasky, Victor"
"Lausche, Frank J."
"Lavelle, Michael J."
"Law, Richard"
"Lazansky, Edward"
"Le Gallais, Hugh"
"Leader, George A."
"Lee, Algernon"
"Lehman Brothers"
"Lehman Family Misc."
"Lehman, Arthur and Mrs. Adele"
"Lehman, Babette Newgass"
"Lehman, Edith A."
"Lehman, Emanuel"
"Lehman, Herbert H."
"Lehman, Hilda Jane"
"Lehman, Irving and Mrs. Sissie Straus"
"Lehman, John R."
"Lehman, Mayer"
"Lehman, Orin"
"Lehman, Peter"
"Lehman, Robert"
"Leidesdorf, Samuel D."
"Leith-Ross, Sir Frederick"
"Lennon, Alton"
"Lerner, Max"
